date,calorie_goal,protein_goal
2025-10-03,1800.0,120.0
2025-10-17,1800.0,120.0
2025-08-14,1800.0,111.0
2025-10-01,1800.0,120.0
2025-10-04,1600.0,80.0
2025-09-03,1800.0,120.0
2025-09-04,1800.0,120.0
2025-09-05,1800.0,120.0
2025-09-06,1800.0,120.0
2025-09-07,1800.0,120.0
2025-09-08,1800.0,120.0
2025-09-09,1800.0,120.0
2025-09-10,1800.0,120.0
2025-09-11,1800.0,120.0
2025-09-12,1800.0,120.0
2025-09-13,1800.0,120.0
2025-09-14,1800.0,120.0
2025-09-15,1800.0,120.0
2025-09-16,1800.0,120.0
2025-09-17,1800.0,120.0
2025-09-18,1800.0,120.0
2025-09-19,1800.0,120.0
2025-09-20,1800.0,120.0
2025-09-21,1800.0,120.0
2025-09-22,1800.0,120.0
2025-09-23,1800.0,120.0
2025-09-24,1800.0,120.0
2025-09-25,1800.0,120.0
2025-09-26,1800.0,120.0
2025-09-27,1800.0,120.0
2025-09-28,1800.0,120.0
2025-09-29,1800.0,120.0
2025-09-30,1800.0,120.0
2025-10-02,1800.0,120.0
